'Elapsed time','ECG I','ECG I filtered'
'0:00.270',-0.850,-0.015
'0:00.272',-0.960,-0.010
'0:00.274',-1.020,-0.010
'0:00.276',-0.995,-0.005
'0:00.278',-0.925,0.000
'0:00.280',-0.920,0.000
'0:00.282',-0.890,0.000
'0:00.284',-0.785,-0.010
'0:00.286',-0.870,-0.015
'0:00.288',-0.920,-0.025
'0:00.290',-0.915,-0.035
'0:00.292',-1.005,-0.040
'0:00.294',-1.060,-0.040
'0:00.296',-1.020,-0.035
'0:00.298',-0.945,-0.030
'0:00.300',-0.910,-0.025
'0:00.302',-0.880,-0.015
'0:00.304',-0.860,-0.010
'0:00.306',-0.900,-0.010
'0:00.308',-0.935,-0.010
'0:00.310',-0.900,-0.015
'0:00.312',-0.965,-0.020
'0:00.314',-1.010,-0.025
'0:00.316',-0.985,-0.030
'0:00.318',-0.990,-0.035
'0:00.320',-0.975,-0.040
'0:00.322',-0.875,-0.040
'0:00.324',-0.875,-0.040
'0:00.326',-0.900,-0.045
'0:00.328',-0.920,-0.050
'0:00.330',-0.990,-0.055
'0:00.332',-1.005,-0.060
'0:00.334',-1.050,-0.070
'0:00.336',-1.020,-0.075
'0:00.338',-1.010,-0.085
'0:00.340',-1.045,-0.090
'0:00.342',-0.960,-0.090
'0:00.344',-0.895,-0.090
'0:00.346',-0.895,-0.085
'0:00.348',-0.955,-0.070
'0:00.350',-0.935,-0.045
'0:00.352',-0.960,-0.015
'0:00.354',-1.005,0.030
'0:00.356',-0.880,0.085
'0:00.358',-0.800,0.145
'0:00.360',-0.695,0.215
'0:00.362',-0.525,0.285
'0:00.364',-0.420,0.355
'0:00.366',-0.380,0.405
'0:00.368',-0.325,0.440
'0:00.370',-0.360,0.450
'0:00.372',-0.580,0.430
'0:00.374',-0.690,0.380
'0:00.376',-0.740,0.305
'0:00.378',-0.720,0.205
'0:00.380',-0.800,0.095
'0:00.382',-0.850,-0.015
'0:00.384',-0.990,-0.115
'0:00.386',-1.110,-0.190
'0:00.388',-1.185,-0.245
'0:00.390',-1.190,-0.265
'0:00.392',-1.160,-0.260
'0:00.394',-1.240,-0.235
'0:00.396',-1.135,-0.195
'0:00.398',-1.060,-0.150
'0:00.400',-1.045,-0.110
'0:00.402',-0.920,-0.080
'0:00.404',-0.925,-0.060
'0:00.406',-0.920,-0.055
'0:00.408',-0.930,-0.055
'0:00.410',-0.945,-0.060
'0:00.412',-0.995,-0.065
'0:00.414',-1.015,-0.070
'0:00.416',-1.000,-0.065
'0:00.418',-1.015,-0.060
'0:00.420',-1.025,-0.050
'0:00.422',-0.905,-0.035
'0:00.424',-0.860,-0.025
'0:00.426',-0.865,-0.020
'0:00.428',-0.890,-0.015
'0:00.430',-0.940,-0.015
'0:00.432',-1.005,-0.015
'0:00.434',-1.035,-0.020
'0:00.436',-0.990,-0.025
'0:00.438',-0.975,-0.030
'0:00.440',-0.965,-0.035
'0:00.442',-0.875,-0.035
'0:00.444',-0.805,-0.035
'0:00.446',-0.925,-0.030
'0:00.448',-0.890,-0.025
'0:00.450',-0.960,-0.020
'0:00.452',-0.960,-0.015
'0:00.454',-0.975,-0.005
'0:00.456',-0.985,0.000
'0:00.458',-0.895,0.000
'0:00.460',-0.915,0.000
'0:00.462',-0.860,-0.005
'0:00.464',-0.875,-0.010
'0:00.466',-0.930,-0.020
'0:00.468',-0.890,-0.025
'0:00.470',-0.890,-0.030
'0:00.472',-0.990,-0.030
'0:00.474',-0.995,-0.030
'0:00.476',-0.980,-0.025
'0:00.478',-0.975,-0.015
'0:00.480',-0.905,-0.010
'0:00.482',-0.840,-0.005
'0:00.484',-0.855,-0.005
'0:00.486',-0.870,-0.005
'0:00.488',-0.930,-0.005
'0:00.490',-0.935,-0.010
'0:00.492',-1.025,-0.010
'0:00.494',-1.040,-0.010
'0:00.496',-0.910,-0.010
'0:00.498',-0.935,-0.005
'0:00.500',-0.870,0.005
'0:00.502',-0.795,0.010
'0:00.504',-0.850,0.015
'0:00.506',-0.870,0.015
'0:00.508',-0.880,0.015
'0:00.510',-0.910,0.015
'0:00.512',-0.985,0.010
'0:00.514',-0.965,0.005
'0:00.516',-0.905,0.005
'0:00.518',-0.945,0.005
'0:00.520',-0.875,0.005
'0:00.522',-0.815,0.010
'0:00.524',-0.800,0.020
'0:00.526',-0.835,0.025
'0:00.528',-0.865,0.035
'0:00.530',-0.885,0.035
'0:00.532',-0.945,0.040
'0:00.534',-0.990,0.040
'0:00.536',-0.925,0.035
'0:00.538',-0.915,0.035
'0:00.540',-0.835,0.035
'0:00.542',-0.775,0.040
'0:00.544',-0.795,0.045
'0:00.546',-0.810,0.050
'0:00.548',-0.790,0.055
'0:00.550',-0.880,0.065
'0:00.552',-0.930,0.070
'0:00.554',-0.905,0.070
'0:00.556',-0.865,0.070
'0:00.558',-0.870,0.070
'0:00.560',-0.820,0.070
'0:00.562',-0.800,0.070
'0:00.564',-0.770,0.070
'0:00.566',-0.790,0.080
'0:00.568',-0.765,0.090
'0:00.570',-0.845,0.100
'0:00.572',-0.910,0.115
'0:00.574',-0.900,0.130
'0:00.576',-0.820,0.135
'0:00.578',-0.785,0.140
'0:00.580',-0.750,0.140
'0:00.582',-0.640,0.135
'0:00.584',-0.675,0.125
'0:00.586',-0.820,0.120
'0:00.588',-0.850,0.120
'0:00.590',-0.805,0.120
'0:00.592',-0.875,0.125
'0:00.594',-0.825,0.135
'0:00.596',-0.805,0.140
'0:00.598',-0.800,0.145
'0:00.600',-0.720,0.150
'0:00.602',-0.690,0.145
'0:00.604',-0.720,0.140
'0:00.606',-0.840,0.130
'0:00.608',-0.780,0.120
'0:00.610',-0.850,0.115
'0:00.612',-0.850,0.110
'0:00.614',-0.830,0.110
'0:00.616',-0.810,0.110
'0:00.618',-0.830,0.110
'0:00.620',-0.780,0.110
'0:00.622',-0.730,0.110
'0:00.624',-0.780,0.105
'0:00.626',-0.755,0.100
'0:00.628',-0.855,0.090
'0:00.630',-0.830,0.085
'0:00.632',-0.975,0.080
'0:00.634',-0.860,0.075
'0:00.636',-0.810,0.075
'0:00.638',-0.875,0.080
'0:00.640',-0.780,0.080
'0:00.642',-0.775,0.080
'0:00.644',-0.830,0.075
'0:00.646',-0.835,0.065
'0:00.648',-0.845,0.050
'0:00.650',-0.875,0.035
'0:00.652',-1.010,0.015
'0:00.654',-1.005,0.000
'0:00.656',-0.935,-0.020
'0:00.658',-0.900,-0.030
'0:00.660',-0.895,-0.040
'0:00.662',-0.890,-0.040
'0:00.664',-0.895,-0.045
'0:00.666',-0.975,-0.040
'0:00.668',-1.000,-0.040
'0:00.670',-0.960,-0.035
'0:00.672',-1.015,-0.030
'0:00.674',-0.980,-0.025
'0:00.676',-0.955,-0.025
'0:00.678',-0.945,-0.020
'0:00.680',-0.920,-0.025
'0:00.682',-0.895,-0.030
'0:00.684',-0.905,-0.035
'0:00.686',-0.930,-0.045
'0:00.688',-0.980,-0.055
'0:00.690',-1.070,-0.060
'0:00.692',-1.105,-0.060
'0:00.694',-1.025,-0.060
'0:00.696',-1.040,-0.055
'0:00.698',-0.995,-0.050
'0:00.700',-0.865,-0.040
'0:00.702',-0.865,-0.035
'0:00.704',-0.890,-0.030
'0:00.706',-0.935,-0.030
'0:00.708',-0.940,-0.035
'0:00.710',-1.125,-0.045
'0:00.712',-1.065,-0.055
'0:00.714',-0.990,-0.060
'0:00.716',-0.965,-0.060
'0:00.718',-0.975,-0.060
'0:00.720',-0.960,-0.050
'0:00.722',-0.870,-0.040
'0:00.724',-0.925,-0.030
'0:00.726',-0.975,-0.025
'0:00.728',-0.955,-0.025
'0:00.730',-1.040,-0.030
'0:00.732',-1.035,-0.040
'0:00.734',-1.035,-0.050
'0:00.736',-0.980,-0.060
'0:00.738',-0.925,-0.070
'0:00.740',-0.885,-0.070
'0:00.742',-0.920,-0.070
'0:00.744',-1.000,-0.060
'0:00.746',-1.015,-0.050
'0:00.748',-0.970,-0.040
'0:00.750',-1.000,-0.030
'0:00.752',-1.000,-0.025
'0:00.754',-1.030,-0.025
'0:00.756',-0.995,-0.025
'0:00.758',-0.930,-0.030
'0:00.760',-0.915,-0.035
'0:00.762',-0.880,-0.040
'0:00.764',-0.915,-0.045
'0:00.766',-0.965,-0.045
'0:00.768',-0.950,-0.040
'0:00.770',-1.065,-0.040
'0:00.772',-1.045,-0.035
'0:00.774',-1.025,-0.035
'0:00.776',-1.000,-0.040
'0:00.778',-0.935,-0.040
'0:00.780',-0.885,-0.045
'0:00.782',-0.910,-0.045
'0:00.784',-0.900,-0.040
'0:00.786',-0.890,-0.035
'0:00.788',-0.965,-0.030
'0:00.790',-1.050,-0.020
'0:00.792',-1.070,-0.015
'0:00.794',-0.990,-0.015
'0:00.796',-0.950,-0.015
'0:00.798',-0.900,-0.020
'0:00.800',-0.935,-0.025
'0:00.802',-0.930,-0.035
'0:00.804',-0.910,-0.045
'0:00.806',-0.920,-0.050
'0:00.808',-0.975,-0.055
'0:00.810',-1.080,-0.055
'0:00.812',-1.065,-0.050
'0:00.814',-0.995,-0.040
'0:00.816',-1.015,-0.035
'0:00.818',-0.930,-0.025
'0:00.820',-0.830,-0.020
'0:00.822',-0.865,-0.020
'0:00.824',-0.880,-0.020
'0:00.826',-0.970,-0.025
'0:00.828',-0.985,-0.030
'0:00.830',-1.025,-0.040
'0:00.832',-1.050,-0.050
'0:00.834',-1.010,-0.055
'0:00.836',-0.965,-0.060
'0:00.838',-0.980,-0.060
'0:00.840',-0.980,-0.060
'0:00.842',-0.950,-0.055
'0:00.844',-0.920,-0.050
'0:00.846',-0.890,-0.045
'0:00.848',-0.990,-0.040
'0:00.850',-1.015,-0.035
'0:00.852',-1.040,-0.035
'0:00.854',-0.975,-0.035
'0:00.856',-1.060,-0.040
'0:00.858',-0.980,-0.050
'0:00.860',-0.860,-0.055
'0:00.862',-0.930,-0.060
'0:00.864',-0.985,-0.060
'0:00.866',-0.965,-0.060
'0:00.868',-0.995,-0.055
'0:00.870',-1.035,-0.050
'0:00.872',-1.030,-0.045
'0:00.874',-1.000,-0.040
'0:00.876',-1.000,-0.035
'0:00.878',-0.925,-0.035
'0:00.880',-0.930,-0.040
'0:00.882',-0.910,-0.045
'0:00.884',-0.940,-0.055
'0:00.886',-1.000,-0.060
'0:00.888',-1.080,-0.065
'0:00.890',-1.110,-0.070
'0:00.892',-1.025,-0.075
'0:00.894',-0.975,-0.075
'0:00.896',-1.010,-0.070
'0:00.898',-0.955,-0.070
'0:00.900',-0.935,-0.065
'0:00.902',-0.940,-0.060
'0:00.904',-0.900,-0.050
'0:00.906',-0.905,-0.050
'0:00.908',-1.055,-0.045
'0:00.910',-1.065,-0.045
'0:00.912',-1.025,-0.045
'0:00.914',-0.985,-0.045
'0:00.916',-1.005,-0.050
'0:00.918',-0.980,-0.055
'0:00.920',-0.955,-0.060
'0:00.922',-0.970,-0.065
'0:00.924',-0.905,-0.065
'0:00.926',-0.905,-0.065
'0:00.928',-1.035,-0.060
'0:00.930',-1.150,-0.050
'0:00.932',-1.060,-0.045
'0:00.934',-1.065,-0.035
'0:00.936',-0.925,-0.035
'0:00.938',-0.895,-0.035
'0:00.940',-0.905,-0.040
'0:00.942',-0.950,-0.050
'0:00.944',-1.020,-0.060
'0:00.946',-1.000,-0.070
'0:00.948',-1.055,-0.080
'0:00.950',-1.125,-0.085
'0:00.952',-1.105,-0.085
'0:00.954',-1.010,-0.080
'0:00.956',-0.990,-0.075
'0:00.958',-0.925,-0.065
'0:00.960',-0.880,-0.060
'0:00.962',-0.955,-0.055
'0:00.964',-0.975,-0.050
'0:00.966',-1.025,-0.050
'0:00.968',-1.040,-0.050
'0:00.970',-1.035,-0.050
'0:00.972',-1.025,-0.055
'0:00.974',-1.060,-0.055
'0:00.976',-0.985,-0.055
'0:00.978',-0.950,-0.050
'0:00.980',-0.940,-0.050
'0:00.982',-0.940,-0.050
'0:00.984',-0.920,-0.050
'0:00.986',-0.995,-0.050
'0:00.988',-1.085,-0.055
'0:00.990',-1.070,-0.055
'0:00.992',-1.015,-0.055
'0:00.994',-1.005,-0.055
'0:00.996',-0.980,-0.050
'0:00.998',-1.015,-0.045
'0:01.000',-0.945,-0.045
'0:01.002',-0.900,-0.040
'0:01.004',-0.960,-0.040
'0:01.006',-0.995,-0.040
'0:01.008',-1.050,-0.045
'0:01.010',-1.025,-0.050
'0:01.012',-1.065,-0.055
'0:01.014',-1.030,-0.060
'0:01.016',-0.955,-0.060
'0:01.018',-0.995,-0.060
'0:01.020',-0.955,-0.055
'0:01.022',-0.980,-0.050
'0:01.024',-0.905,-0.045
'0:01.026',-0.965,-0.035
'0:01.028',-1.040,-0.030
'0:01.030',-1.055,-0.025
'0:01.032',-1.015,-0.020
'0:01.034',-0.990,-0.015
'0:01.036',-0.935,-0.010
'0:01.038',-0.920,-0.010
'0:01.040',-0.845,-0.010
'0:01.042',-0.890,-0.010
'0:01.044',-0.920,-0.015
'0:01.046',-0.995,-0.020
'0:01.048',-1.060,-0.025
'0:01.050',-1.070,-0.030
'0:01.052',-1.030,-0.035
'0:01.054',-1.005,-0.035
'0:01.056',-0.945,-0.035
'0:01.058',-0.875,-0.030
'0:01.060',-0.860,-0.020
'0:01.062',-0.900,-0.015
'0:01.064',-0.940,-0.010
'0:01.066',-0.940,-0.005
'0:01.068',-1.030,-0.005
'0:01.070',-1.030,-0.010
'0:01.072',-1.020,-0.015
'0:01.074',-1.045,-0.025
'0:01.076',-1.075,-0.030
'0:01.078',-0.875,-0.035
'0:01.080',-0.860,-0.040
'0:01.082',-0.955,-0.045
'0:01.084',-0.930,-0.045
'0:01.086',-1.035,-0.045
'0:01.088',-1.080,-0.045
'0:01.090',-1.040,-0.050
'0:01.092',-1.060,-0.050
'0:01.094',-1.005,-0.055
'0:01.096',-1.010,-0.060
'0:01.098',-0.925,-0.060
'0:01.100',-0.985,-0.060
'0:01.102',-0.955,-0.060
'0:01.104',-0.995,-0.055
'0:01.106',-1.000,-0.045
'0:01.108',-1.035,-0.040
'0:01.110',-1.080,-0.030
'0:01.112',-1.020,-0.030
'0:01.114',-1.005,-0.025
'0:01.116',-0.990,-0.030
'0:01.118',-0.980,-0.035
'0:01.120',-0.910,-0.045
'0:01.122',-0.955,-0.050
'0:01.124',-1.000,-0.060
'0:01.126',-1.005,-0.065
'0:01.128',-1.085,-0.070
'0:01.130',-1.135,-0.070
'0:01.132',-1.085,-0.070
'0:01.134',-1.035,-0.065
'0:01.136',-0.950,-0.060
'0:01.138',-0.915,-0.055
'0:01.140',-0.965,-0.050
'0:01.142',-0.905,-0.050
'0:01.144',-1.020,-0.055
'0:01.146',-1.105,-0.065
'0:01.148',-1.105,-0.075
'0:01.150',-1.135,-0.090
'0:01.152',-1.110,-0.095
'0:01.154',-1.075,-0.090
'0:01.156',-1.075,-0.075
'0:01.158',-0.910,-0.045
'0:01.160',-0.875,0.005
'0:01.162',-0.815,0.070
'0:01.164',-0.775,0.145
'0:01.166',-0.715,0.225
'0:01.168',-0.685,0.300
'0:01.170',-0.615,0.365
'0:01.172',-0.545,0.410
'0:01.174',-0.490,0.430
'0:01.176',-0.445,0.425
'0:01.178',-0.555,0.395
'0:01.180',-0.595,0.335
'0:01.182',-0.675,0.260
'0:01.184',-0.750,0.170
'0:01.186',-0.920,0.070
'0:01.188',-1.035,-0.025
'0:01.190',-1.225,-0.110
'0:01.192',-1.275,-0.180
'0:01.194',-1.245,-0.235
'0:01.196',-1.230,-0.270
'0:01.198',-1.165,-0.285
'0:01.200',-1.125,-0.280
'0:01.202',-1.130,-0.260
'0:01.204',-1.130,-0.235
'0:01.206',-1.205,-0.200
'0:01.208',-1.235,-0.165
'0:01.210',-1.170,-0.135
'0:01.212',-1.100,-0.110
'0:01.214',-1.010,-0.095
'0:01.216',-0.955,-0.080
'0:01.218',-1.000,-0.075
'0:01.220',-0.960,-0.070
'0:01.222',-0.935,-0.065
'0:01.224',-1.005,-0.055
'0:01.226',-1.060,-0.045
'0:01.228',-1.065,-0.030
'0:01.230',-1.020,-0.020
'0:01.232',-1.015,-0.015
'0:01.234',-1.000,-0.015
'0:01.236',-0.985,-0.015
'0:01.238',-0.930,-0.025
'0:01.240',-0.895,-0.035
'0:01.242',-0.965,-0.045
'0:01.244',-0.990,-0.050
'0:01.246',-1.065,-0.050
'0:01.248',-1.070,-0.045
'0:01.250',-1.030,-0.040
'0:01.252',-1.015,-0.030
'0:01.254',-1.010,-0.020
'0:01.256',-0.935,-0.015
'0:01.258',-0.900,-0.010
'0:01.260',-0.915,-0.015
'0:01.262',-0.960,-0.025
'0:01.264',-1.050,-0.030
'0:01.266',-1.070,-0.040
'0:01.268',-1.045,-0.045
'0:01.270',-1.055,-0.045
'0:01.272',-1.025,-0.040
'0:01.274',-0.965,-0.025
'0:01.276',-0.910,-0.015
'0:01.278',-0.905,0.000
'0:01.280',-0.905,0.010
'0:01.282',-0.870,0.020
'0:01.284',-1.020,0.025
'0:01.286',-0.950,0.025
'0:01.288',-0.995,0.020
'0:01.290',-1.020,0.015
'0:01.292',-1.075,0.010
'0:01.294',-0.980,0.000
'0:01.296',-0.930,0.000
'0:01.298',-0.915,-0.005
'0:01.300',-0.910,-0.005
'0:01.302',-0.905,-0.005
'0:01.304',-1.010,-0.005
'0:01.306',-1.025,0.000
'0:01.308',-1.050,0.000
'0:01.310',-1.015,0.005
'0:01.312',-0.960,0.010
'0:01.314',-0.905,0.015
'0:01.316',-0.905,0.015
'0:01.318',-0.890,0.020
'0:01.320',-0.905,0.025
'0:01.322',-0.915,0.030
'0:01.324',-0.965,0.030
'0:01.326',-1.030,0.030
'0:01.328',-1.010,0.030
'0:01.330',-1.005,0.030
'0:01.332',-0.955,0.025
'0:01.334',-0.925,0.025
'0:01.336',-0.865,0.025
'0:01.338',-0.885,0.030
'0:01.340',-0.915,0.035
'0:01.342',-0.920,0.040
'0:01.344',-0.940,0.050
'0:01.346',-1.005,0.060
'0:01.348',-0.910,0.070
'0:01.350',-0.925,0.080
'0:01.352',-0.960,0.085
'0:01.354',-0.870,0.095
'0:01.356',-0.840,0.100
'0:01.358',-0.810,0.105
'0:01.360',-0.815,0.105
'0:01.362',-0.850,0.105
'0:01.364',-0.860,0.105
'0:01.366',-0.950,0.105
'0:01.368',-0.975,0.105
'0:01.370',-0.925,0.105
'0:01.372',-0.895,0.100
'0:01.374',-0.895,0.100
'0:01.376',-0.815,0.105
'0:01.378',-0.775,0.105
'0:01.380',-0.790,0.110
'0:01.382',-0.825,0.115
'0:01.384',-0.880,0.120
'0:01.386',-0.955,0.125
'0:01.388',-0.935,0.125
'0:01.390',-0.920,0.125
'0:01.392',-0.840,0.125
'0:01.394',-0.825,0.130
'0:01.396',-0.750,0.130
'0:01.398',-0.770,0.135
'0:01.400',-0.790,0.140
'0:01.402',-0.805,0.145
'0:01.404',-0.880,0.150
'0:01.406',-0.935,0.155
'0:01.408',-0.880,0.160
'0:01.410',-0.885,0.160
'0:01.412',-0.855,0.155
'0:01.414',-0.830,0.150
'0:01.416',-0.835,0.140
'0:01.418',-0.775,0.135
'0:01.420',-0.775,0.135
'0:01.422',-0.780,0.135
'0:01.424',-0.900,0.140
'0:01.426',-0.875,0.145
'0:01.428',-0.925,0.150
'0:01.430',-0.875,0.150
'0:01.432',-0.840,0.150
'0:01.434',-0.775,0.145
'0:01.436',-0.815,0.140
'0:01.438',-0.770,0.130
'0:01.440',-0.835,0.115
'0:01.442',-0.815,0.105
'0:01.444',-0.915,0.100
'0:01.446',-0.965,0.095
'0:01.448',-1.030,0.090
'0:01.450',-0.920,0.090
'0:01.452',-0.930,0.085
'0:01.454',-0.910,0.080
'0:01.456',-0.825,0.070
'0:01.458',-0.845,0.060
'0:01.460',-0.900,0.050
'0:01.462',-0.930,0.040
'0:01.464',-0.995,0.030
'0:01.466',-1.065,0.020
'0:01.468',-1.050,0.015
'0:01.470',-1.075,0.010
'0:01.472',-1.000,0.005
'0:01.474',-0.895,0.005
'0:01.476',-0.910,0.005
'0:01.478',-0.860,0.005
'0:01.480',-0.950,0.000
'0:01.482',-0.975,0.000
'0:01.484',-1.035,0.000
'0:01.486',-1.165,0.005
'0:01.488',-1.055,0.005
'0:01.490',-1.010,0.005
'0:01.492',-0.960,0.005
'0:01.494',-0.965,0.005
'0:01.496',-0.960,0.000
'0:01.498',-0.880,-0.005
'0:01.500',-0.960,-0.015
'0:01.502',-0.990,-0.025
'0:01.504',-1.120,-0.035
'0:01.506',-1.100,-0.040
'0:01.508',-1.100,-0.045
'0:01.510',-1.060,-0.045
'0:01.512',-1.015,-0.040
'0:01.514',-0.965,-0.040
'0:01.516',-0.930,-0.035
'0:01.518',-0.970,-0.030
'0:01.520',-1.045,-0.025
'0:01.522',-1.005,-0.025
'0:01.524',-1.105,-0.025
'0:01.526',-1.090,-0.030
'0:01.528',-1.055,-0.030
'0:01.530',-1.060,-0.035
'0:01.532',-1.030,-0.040
'0:01.534',-0.990,-0.040
'0:01.536',-0.955,-0.040
'0:01.538',-0.990,-0.035
'0:01.540',-0.975,-0.030
'0:01.542',-1.010,-0.025
'0:01.544',-1.080,-0.020
'0:01.546',-1.130,-0.015
'0:01.548',-1.050,-0.010
'0:01.550',-1.000,-0.005
'0:01.552',-1.010,0.000
'0:01.554',-0.970,0.005
'0:01.556',-0.975,0.010
'0:01.558',-0.900,0.010
'0:01.560',-0.945,0.015
'0:01.562',-0.980,0.015
'0:01.564',-1.035,0.015
'0:01.566',-1.045,0.010
'0:01.568',-1.060,0.005
'0:01.570',-1.055,0.000
'0:01.572',-1.010,-0.005
'0:01.574',-0.985,-0.010
'0:01.576',-0.920,-0.010
'0:01.578',-0.980,-0.010
'0:01.580',-0.955,0.000
'0:01.582',-0.995,0.005
'0:01.584',-1.025,0.015
'0:01.586',-1.055,0.020
'0:01.588',-1.030,0.025
'0:01.590',-1.045,0.020
'0:01.592',-0.955,0.015
'0:01.594',-0.960,0.005
'0:01.596',-0.960,-0.005
'0:01.598',-0.960,-0.015
'0:01.600',-1.010,-0.025
'0:01.602',-1.105,-0.025
'0:01.604',-1.080,-0.020
'0:01.606',-1.025,-0.005
'0:01.608',-1.020,0.005
'0:01.610',-1.020,0.020
'0:01.612',-0.970,0.035
'0:01.614',-0.940,0.040
'0:01.616',-0.930,0.040
'0:01.618',-0.940,0.030
'0:01.620',-1.005,0.020
'0:01.622',-1.050,0.005
'0:01.624',-1.065,-0.010
'0:01.626',-1.095,-0.020
'0:01.628',-1.060,-0.025
'0:01.630',-0.985,-0.025
'0:01.632',-1.015,-0.015
'0:01.634',-0.965,-0.005
'0:01.636',-0.900,0.010
'0:01.638',-0.995,0.020
'0:01.640',-0.955,0.030
'0:01.642',-1.020,0.030
'0:01.644',-1.045,0.025
'0:01.646',-1.075,0.020
'0:01.648',-1.080,0.010
'0:01.650',-1.065,-0.005
'0:01.652',-1.070,-0.015
'0:01.654',-0.945,-0.025
'0:01.656',-0.950,-0.030
'0:01.658',-1.010,-0.035
'0:01.660',-0.990,-0.035
'0:01.662',-1.110,-0.035
'0:01.664',-1.100,-0.030
'0:01.666',-1.080,-0.020
'0:01.668',-1.095,-0.015
'0:01.670',-1.010,-0.005
'0:01.672',-1.005,0.000
'0:01.674',-0.955,0.005
'0:01.676',-0.965,0.005
